item_id,product_id,price,amount
1,57,0.99,3.0
2,33,0.99,3.0
3,37,0.99,3.0
6,44,0.99,3.0
8,28,0.99,3.0
9,26,0.99,3.0
11,36,0.99,3.0
12,27,0.99,3.0
13,3,0.99,3.0
15,44,0.99,3.0
16,66,0.99,3.0
17,35,0.99,3.0
19,33,0.99,3.0
20,25,0.99,3.0
21,31,0.99,3.0
26,35,0.99,3.0
27,33,0.99,3.0
28,22,0.99,3.0
31,51,0.99,3.0
33,54,0.99,3.0
34,25,0.99,3.0
35,47,0.99,3.0
37,27,0.99,3.0
38,60,0.99,3.0
39,57,0.99,3.0
40,3,0.99,3.0
41,2,0.99,3.0
43,24,0.99,3.0
44,59,0.99,3.0
46,60,0.99,3.0
47,50,0.99,3.0
48,21,0.99,3.0
49,41,0.99,3.0
50,44,0.99,3.0
55,37,0.99,3.0
57,31,0.99,3.0
58,65,0.99,3.0
60,63,0.99,3.0
61,27,0.99,3.0
62,57,0.99,3.0
65,59,0.99,3.0
66,36,0.99,3.0
68,30,0.99,3.0
69,7,0.99,3.0
70,37,0.99,3.0
73,26,0.99,3.0
75,3,0.99,3.0
76,31,0.99,3.0
77,57,0.99,3.0
79,44,0.99,3.0
80,24,0.99,3.0
81,51,0.99,3.0
83,44,0.99,3.0
86,66,0.99,3.0
87,28,0.99,3.0
90,31,0.99,3.0
91,2,0.99,3.0
92,65,0.99,3.0
93,59,0.99,3.0
94,21,0.99,3.0
95,25,0.99,3.0
96,39,0.99,3.0
97,35,0.99,3.0
99,37,0.99,3.0
103,27,0.99,3.0
105,61,0.99,3.0
106,24,0.99,3.0
107,26,0.99,3.0
108,55,0.99,3.0
110,40,0.99,3.0
114,41,0.99,3.0
115,30,0.99,3.0
116,47,0.99,3.0
118,22,0.99,3.0
121,27,0.99,3.0
124,33,0.99,3.0
126,24,0.99,3.0
127,30,0.99,3.0
128,28,0.99,3.0
130,41,0.99,3.0
133,21,0.99,3.0
135,7,0.99,3.0
138,21,0.99,3.0
139,31,0.99,3.0
140,54,0.99,3.0
141,7,0.99,3.0
143,44,0.99,3.0
144,36,0.99,3.0
145,66,0.99,3.0
148,7,0.99,3.0
150,24,0.99,3.0
151,55,0.99,3.0
152,10,0.99,3.0
153,44,0.99,3.0
155,62,0.99,3.0
157,40,0.99,3.0
159,8,0.99,3.0
160,41,0.99,3.0
161,40,0.99,3.0
164,63,0.99,3.0
168,3,0.99,3.0
172,28,0.99,3.0
173,33,0.99,3.0
174,3,0.99,3.0
175,30,0.99,3.0
176,25,0.99,3.0
177,33,0.99,3.0
178,63,0.99,3.0
180,61,0.99,3.0
181,17,0.99,3.0
182,30,0.99,3.0
183,55,0.99,3.0
184,37,0.99,3.0
185,25,0.99,3.0
187,30,0.99,3.0
188,26,0.99,3.0
190,17,0.99,3.0
191,35,0.99,3.0
192,19,0.99,3.0
193,32,0.99,3.0
194,55,0.99,3.0
195,65,0.99,3.0
196,50,0.99,3.0
197,59,0.99,3.0
200,36,0.99,3.0
201,61,0.99,3.0
209,7,0.99,3.0
210,2,0.99,3.0
212,2,0.99,3.0
214,17,0.99,3.0
215,51,0.99,3.0
216,8,0.99,3.0
218,35,0.99,3.0
219,54,0.99,3.0
220,3,0.99,3.0
221,33,0.99,3.0
223,33,0.99,3.0
224,19,0.99,3.0
229,37,0.99,3.0
230,27,0.99,3.0
231,17,0.99,3.0
232,40,0.99,3.0
233,32,0.99,3.0
235,66,0.99,3.0
238,32,0.99,3.0
239,59,0.99,3.0
241,36,0.99,3.0
244,33,0.99,3.0
245,10,0.99,3.0
246,62,0.99,3.0
247,31,0.99,3.0
248,60,0.99,3.0
251,10,0.99,3.0
252,27,0.99,3.0
253,3,0.99,3.0
254,54,0.99,3.0
255,50,0.99,3.0
256,65,0.99,3.0
257,35,0.99,3.0
258,27,0.99,3.0
259,36,0.99,3.0
260,28,0.99,3.0
261,36,0.99,3.0
262,65,0.99,3.0
263,2,0.99,3.0
265,36,0.99,3.0
266,25,0.99,3.0
268,27,0.99,3.0
269,17,0.99,3.0
271,63,0.99,3.0
272,61,0.99,3.0
273,22,0.99,3.0
274,65,0.99,3.0
275,33,0.99,3.0
276,40,0.99,3.0
280,50,0.99,3.0
281,59,0.99,3.0
282,17,0.99,3.0
283,17,0.99,3.0
284,35,0.99,3.0
287,2,0.99,3.0
288,17,0.99,3.0
290,44,0.99,3.0
291,33,0.99,3.0
292,60,0.99,3.0
293,40,0.99,3.0
294,57,0.99,3.0
295,47,0.99,3.0
296,33,0.99,3.0
297,57,0.99,3.0
299,47,0.99,3.0
300,25,0.99,3.0
301,26,0.99,3.0
302,28,0.99,3.0
303,2,0.99,3.0
304,21,0.99,3.0
305,32,0.99,3.0
306,19,0.99,3.0
307,7,0.99,3.0
308,59,0.99,3.0
309,37,0.99,3.0
310,19,0.99,3.0
311,60,0.99,3.0
312,19,0.99,3.0
314,21,0.99,3.0
315,37,0.99,3.0
317,28,0.99,3.0
318,33,0.99,3.0
320,22,0.99,3.0
323,32,0.99,3.0
329,21,0.99,3.0
332,44,0.99,3.0
333,61,0.99,3.0
334,22,0.99,3.0
336,59,0.99,3.0
338,36,0.99,3.0
339,47,0.99,3.0
344,62,0.99,3.0
345,66,0.99,3.0
347,32,0.99,3.0
348,54,0.99,3.0
352,66,0.99,3.0
353,57,0.99,3.0
356,10,0.99,3.0
360,65,0.99,3.0
361,17,0.99,3.0
362,27,0.99,3.0
363,39,0.99,3.0
368,63,0.99,3.0
369,2,0.99,3.0
370,35,0.99,3.0
371,36,0.99,3.0
373,8,0.99,3.0
374,25,0.99,3.0
377,66,0.99,3.0
378,41,0.99,3.0
379,31,0.99,3.0
381,17,0.99,3.0
382,59,0.99,3.0
386,24,0.99,3.0
387,28,0.99,3.0
390,35,0.99,3.0
391,24,0.99,3.0
392,17,0.99,3.0
393,40,0.99,3.0
394,28,0.99,3.0
396,10,0.99,3.0
397,17,0.99,3.0
398,27,0.99,3.0
399,30,0.99,3.0
400,8,0.99,3.0
401,21,0.99,3.0
403,39,0.99,3.0
404,10,0.99,3.0
407,66,0.99,3.0
408,55,0.99,3.0
409,32,0.99,3.0
411,7,0.99,3.0
412,28,0.99,3.0
414,55,0.99,3.0
419,57,0.99,3.0
421,17,0.99,3.0
422,41,0.99,3.0
424,51,0.99,3.0
425,51,0.99,3.0
426,27,0.99,3.0
427,41,0.99,3.0
428,25,0.99,3.0
429,35,0.99,3.0
431,41,0.99,3.0
432,31,0.99,3.0
436,28,0.99,3.0
437,2,0.99,3.0
438,51,0.99,3.0
439,28,0.99,3.0
447,33,0.99,3.0
449,22,0.99,3.0
456,37,0.99,3.0
457,8,0.99,3.0
458,57,0.99,3.0
463,59,0.99,3.0
468,17,0.99,3.0
471,61,0.99,3.0
474,54,0.99,3.0
475,37,0.99,3.0
477,60,0.99,3.0
478,65,0.99,3.0
480,25,0.99,3.0
482,47,0.99,3.0
483,40,0.99,3.0
484,41,0.99,3.0
486,22,0.99,3.0
488,63,0.99,3.0
489,60,0.99,3.0
492,28,0.99,3.0
493,54,0.99,3.0
494,35,0.99,3.0
498,47,0.99,3.0
499,47,0.99,3.0
501,61,0.99,3.0
502,30,0.99,3.0
504,3,0.99,3.0
505,28,0.99,3.0
506,40,0.99,3.0
507,62,0.99,3.0
510,10,0.99,3.0
511,7,0.99,3.0
513,51,0.99,3.0
514,27,0.99,3.0
515,31,0.99,3.0
516,35,0.99,3.0
518,54,0.99,3.0
519,65,0.99,3.0
520,19,0.99,3.0
522,57,0.99,3.0
523,62,0.99,3.0
527,32,0.99,3.0
528,28,0.99,3.0
529,39,0.99,3.0
530,30,0.99,3.0
531,26,0.99,3.0
536,24,0.99,3.0
537,24,0.99,3.0
538,54,0.99,3.0
542,32,0.99,3.0
543,19,0.99,3.0
544,17,0.99,3.0
545,32,0.99,3.0
546,50,0.99,3.0
548,10,0.99,3.0
549,30,0.99,3.0
550,61,0.99,3.0
553,57,0.99,3.0
556,24,0.99,3.0
558,44,0.99,3.0
562,55,0.99,3.0
564,7,0.99,3.0
566,55,0.99,3.0
570,31,0.99,3.0
571,50,0.99,3.0
572,8,0.99,3.0
574,37,0.99,3.0
576,59,0.99,3.0
577,7,0.99,3.0
578,40,0.99,3.0
579,63,0.99,3.0
581,21,0.99,3.0
582,36,0.99,3.0
584,25,0.99,3.0
585,27,0.99,3.0
586,50,0.99,3.0
587,30,0.99,3.0
588,60,0.99,3.0
590,30,0.99,3.0
591,50,0.99,3.0
592,28,0.99,3.0
593,26,0.99,3.0
594,54,0.99,3.0
596,36,0.99,3.0
597,61,0.99,3.0
598,10,0.99,3.0
599,54,0.99,3.0
601,36,0.99,3.0
602,22,0.99,3.0
603,47,0.99,3.0
604,57,0.99,3.0
607,37,0.99,3.0
