shipment_id,vendor,order_date,arrival_date,employee_id,shipment_total
1,vendor_2,2022-01-08,2022-01-15,7,12215.375114125265
2,vendor_2,2022-01-15,2022-01-22,7,12504.9878397674
3,vendor_3,2022-01-22,2022-01-29,3,12465.057892845743
4,vendor_1,2022-01-29,2022-02-05,7,12440.489449462888
5,vendor_3,2022-02-05,2022-02-12,3,12544.300785057258
6,vendor_3,2022-02-12,2022-02-19,3,12564.556737261255
7,vendor_1,2022-02-19,2022-02-26,3,12486.851623038607
8,vendor_2,2022-02-26,2022-03-05,7,12337.23189001057
9,vendor_3,2022-03-05,2022-03-12,4,12339.415952336687
10,vendor_3,2022-03-12,2022-03-19,5,12344.390901577774
11,vendor_1,2022-03-19,2022-03-26,5,12367.125375692374
12,vendor_2,2022-03-26,2022-04-02,6,12166.2065455862
13,vendor_3,2022-04-02,2022-04-09,7,12371.620823640342
14,vendor_2,2022-04-09,2022-04-16,3,12277.917013703965
15,vendor_2,2022-04-16,2022-04-23,6,12491.119707419102
16,vendor_3,2022-04-23,2022-04-30,3,12656.768415272627
17,vendor_2,2022-04-30,2022-05-07,7,12453.565796955565
18,vendor_1,2022-05-07,2022-05-14,2,12239.458894151976
19,vendor_1,2022-05-14,2022-05-21,7,12476.024789046698
20,vendor_1,2022-05-21,2022-05-28,3,12206.092225173568
21,vendor_3,2022-05-28,2022-06-04,4,12327.838780358163
22,vendor_3,2022-06-04,2022-06-11,2,12656.314405001727
23,vendor_3,2022-06-11,2022-06-18,6,12559.814972982731
24,vendor_2,2022-06-18,2022-06-25,4,12555.733885961905
25,vendor_1,2022-06-25,2022-07-02,4,12796.782364078277
26,vendor_1,2022-07-02,2022-07-09,7,12555.231258554588
27,vendor_1,2022-07-09,2022-07-16,3,12412.958337312533
28,vendor_3,2022-07-16,2022-07-23,4,12514.60581062291
29,vendor_2,2022-07-23,2022-07-30,2,12248.949279085145
30,vendor_1,2022-07-30,2022-08-06,6,12510.591534506762
31,vendor_3,2022-08-06,2022-08-13,6,12316.702352233538
32,vendor_3,2022-08-13,2022-08-20,6,12318.916481559572
33,vendor_3,2022-08-20,2022-08-27,3,12330.922471237354
34,vendor_1,2022-08-27,2022-09-03,6,12671.426524908265
35,vendor_2,2022-09-03,2022-09-10,4,12402.05175305685
36,vendor_2,2022-09-10,2022-09-17,1,12387.160999337664
37,vendor_3,2022-09-17,2022-09-24,6,12433.662918833663
38,vendor_2,2022-09-24,2022-10-01,7,12445.924631214713
39,vendor_1,2022-10-01,2022-10-08,5,12200.366037372454
40,vendor_3,2022-10-08,2022-10-15,2,12462.695554901047
41,vendor_1,2022-10-15,2022-10-22,6,12448.339866003995
42,vendor_1,2022-10-22,2022-10-29,5,12231.327459225102
43,vendor_1,2022-10-29,2022-11-05,1,12682.402258310241
44,vendor_3,2022-11-05,2022-11-12,1,12333.937675770068
45,vendor_3,2022-11-12,2022-11-19,3,12351.842082277984
46,vendor_3,2022-11-19,2022-11-26,5,12176.279790428522
47,vendor_1,2022-11-26,2022-12-03,3,12357.68019864057
48,vendor_2,2022-12-03,2022-12-10,4,12281.147594152764
49,vendor_1,2022-12-10,2022-12-17,6,12495.840326766756
50,vendor_3,2022-12-17,2022-12-24,6,12434.706632747933
51,vendor_3,2022-12-24,2022-12-31,4,12327.082704054186
52,vendor_1,2022-12-31,2023-01-07,5,12356.588528946904
