product_id,additives
17,diet down enhancer
28,gut health enhancer
30,immune support enhancer
41,muscle builder enhancer
31,joint health enhancer with collagen
21,fiber blend enhancer
19,energy boost enhancer
24,gladiator protein chocolate
26,gladiator protein vanilla
25,gladiator protein strawberry
66,whey protein
61,sunwarrior organic plant-based protein
33,keto protein blend
22,fitaid paleo protein enhancer
35,lean1 chocolate protein
36,lean1 vanilla protein
54,pure recharge enhancer
40,multivitamin enhancer
62,super grains enhancer
39,metabolism boost enhancer
51,probiotic powder enhancer
10,califia farms almond milk
44,oatmilk by califia farms
3,almond
27,greek nonfat yogurt
47,peanut butter
2,almond butter
65,vanilla frozen yogurt
7,banana
37,mangoes
57,spinach - organic
8,blueberries (wild)
50,pineapple
63,tart cherries
32,kale - organic
55,raspberries
60,strawberries - added sugar
59,strawberries - no sugar
