product_name,quantity,timestamp
100% cocoa,4949.709074461274,2023-01-01
almond butter,2516.030054705712,2023-01-01
almond,2564.312353482224,2023-01-01
apple blueberry juice blend,3499.565323297972,2023-01-01
apple juice blend,2333.74519505706,2023-01-01
apple pineapple juice blend,4184.088358068503,2023-01-01
banana,18764.194523444174,2023-01-01
blueberries (wild),2544.8412891168273,2023-01-01
butter pecan ice cream,2355.0198795449137,2023-01-01
califia farms almond milk,3425.9110598587085,2023-01-01
carrots - organic,2541.198474591082,2023-01-01
cinnamon,2297.101739612426,2023-01-01
coconut water,2825.695891151138,2023-01-01
cold brew coffee,3393.251844789164,2023-01-01
dairy whey blend,3105.4649129159952,2023-01-01
dates,4319.860653689522,2023-01-01
diet down enhancer,2347.194249586542,2023-01-01
electrolyte blend,2613.9546160934606,2023-01-01
energy boost enhancer,2205.457585994968,2023-01-01
espresso,2354.00383726523,2023-01-01
fiber blend enhancer,3036.2254515354393,2023-01-01
fitaid paleo protein enhancer,2287.962077976619,2023-01-01
ginger - organic,2373.593255907215,2023-01-01
gladiator protein chocolate,2433.7804645863575,2023-01-01
gladiator protein strawberry,2270.8465484743674,2023-01-01
gladiator protein vanilla,3500.748550352697,2023-01-01
greek nonfat yogurt,2325.080649022576,2023-01-01
gut health enhancer,2271.316607812951,2023-01-01
hulk blend,3125.1449742218683,2023-01-01
immune support enhancer,2248.035197207189,2023-01-01
joint health enhancer with collagen,2299.871801876171,2023-01-01
kale - organic,2527.949655263158,2023-01-01
keto protein blend,2357.7231343864405,2023-01-01
kiwi apple juice blend,2913.6666773045667,2023-01-01
lean1 chocolate protein,2331.3908239408956,2023-01-01
lean1 vanilla protein,2327.724914512013,2023-01-01
mangoes,3301.879243198622,2023-01-01
matcha green tea,2304.593634458145,2023-01-01
metabolism boost enhancer,2448.8416343791864,2023-01-01
multivitamin enhancer,2239.6982990861543,2023-01-01
muscle builder enhancer,2189.263164394518,2023-01-01
nonfat milk,3536.2087862796393,2023-01-01
nutrient blend,2338.6468743255564,2023-01-01
oatmilk by califia farms,2209.9252949968627,2023-01-01
orange juice blend,2462.620568777549,2023-01-01
papaya juice blend,5055.665223129205,2023-01-01
peanut butter,2340.781015736604,2023-01-01
pear juice blend,2370.736133695073,2023-01-01
pear passion fruit juice blend,2321.60215903603,2023-01-01
pineapple,4063.7121200092843,2023-01-01
probiotic powder enhancer,2303.4324192908025,2023-01-01
protein blend,7648.465486779996,2023-01-01
pumpkin - organic,2262.3787980598545,2023-01-01
pure recharge enhancer,2461.593038163269,2023-01-01
raspberries,2536.297058502361,2023-01-01
spice blend,2193.767756169639,2023-01-01
spinach - organic,2400.9235849088946,2023-01-01
stevia plant-based sweetener,3841.053277365556,2023-01-01
strawberries - no sugar,4383.942201109608,2023-01-01
strawberries - added sugar,5818.326874144786,2023-01-01
sunwarrior organic plant-based protein,2732.492338195044,2023-01-01
super grains enhancer,2288.189162494837,2023-01-01
tart cherries,2580.9078624294716,2023-01-01
turbinado,7630.405110262544,2023-01-01
vanilla frozen yogurt,2240.7719897815027,2023-01-01
whey protein,2311.944929666297,2023-01-01
white grape lemon juice blend,2592.5968638919135,2023-01-01
milk chocolate almonds,998.79,2023-01-01
dark chocolate cashews,1003.39,2023-01-01
greek yogurt trail mix,1006.4299999999997,2023-01-01
good health peanut butter pretzels,997.6800000000002,2023-01-01
ostrim meat sticks,1008.7399999999997,2023-01-01
banana chips,1003.2799999999999,2023-01-01
natures blend,1003.6699999999997,2023-01-01
lenny and larry vegan cookies,999.2599999999999,2023-01-01
greek yogurt pretzels,1001.4800000000005,2023-01-01
cups 20 oz,4237.890000000002,2023-01-01
cups 32 oz,4269.720000000001,2023-01-01
cups 40 oz,4228.469999999999,2023-01-01
straws,4736.080000000003,2023-01-01
100% cocoa,5209.076850568986,2022-12-31
almond butter,2556.325209924605,2022-12-31
almond,2662.5177025050416,2022-12-31
apple blueberry juice blend,3697.4042510836207,2022-12-31
apple juice blend,2408.51740037237,2022-12-31
apple pineapple juice blend,4398.20814205816,2022-12-31
banana,19520.34515235007,2022-12-31
blueberries (wild),2636.9101970328256,2022-12-31
butter pecan ice cream,2431.5584752919294,2022-12-31
califia farms almond milk,3513.4546916312684,2022-12-31
carrots - organic,2614.2441303179967,2022-12-31
cinnamon,2304.701739612426,2022-12-31
coconut water,3008.6978579038237,2022-12-31
cold brew coffee,3476.052773083465,2022-12-31
dairy whey blend,3166.2477365638465,2022-12-31
dates,4545.347864026208,2022-12-31
diet down enhancer,2347.194249586542,2022-12-31
electrolyte blend,2702.7527984916683,2022-12-31
energy boost enhancer,2205.457585994968,2022-12-31
espresso,2354.00383726523,2022-12-31
fiber blend enhancer,3152.206587517742,2022-12-31
fitaid paleo protein enhancer,2324.3008650909064,2022-12-31
ginger - organic,2409.261863501752,2022-12-31
gladiator protein chocolate,2503.297896188412,2022-12-31
gladiator protein strawberry,2284.697806872016,2022-12-31
gladiator protein vanilla,3619.2054980214707,2022-12-31
greek nonfat yogurt,2436.660474058799,2022-12-31
gut health enhancer,2271.316607812951,2022-12-31
hulk blend,3152.276246247178,2022-12-31
immune support enhancer,2266.795748123465,2022-12-31
joint health enhancer with collagen,2318.0718018761704,2022-12-31
kale - organic,2598.6389221486306,2022-12-31
keto protein blend,2366.3231343864404,2022-12-31
kiwi apple juice blend,2964.6229147764934,2022-12-31
lean1 chocolate protein,2398.010919499126,2022-12-31
lean1 vanilla protein,2374.057045137879,2022-12-31
mangoes,3462.7108256898528,2022-12-31
matcha green tea,2304.593634458145,2022-12-31
metabolism boost enhancer,2496.082081784146,2022-12-31
multivitamin enhancer,2239.6982990861543,2022-12-31
muscle builder enhancer,2189.263164394518,2022-12-31
nonfat milk,3840.706990215267,2022-12-31
nutrient blend,2371.393793893738,2022-12-31
oatmilk by califia farms,2225.3121111910973,2022-12-31
orange juice blend,2537.954346377396,2022-12-31
papaya juice blend,5147.819447600421,2022-12-31
peanut butter,2482.7382970807294,2022-12-31
pear juice blend,2459.188019006564,2022-12-31
pear passion fruit juice blend,2392.114383857613,2022-12-31
pineapple,4220.30406350948,2022-12-31
probiotic powder enhancer,2303.4324192908025,2022-12-31
protein blend,7917.45381624875,2022-12-31
pumpkin - organic,2262.3787980598545,2022-12-31
pure recharge enhancer,2532.4435397557354,2022-12-31
raspberries,2602.963104083052,2022-12-31
spice blend,2193.767756169639,2022-12-31
spinach - organic,2491.610262094082,2022-12-31
stevia plant-based sweetener,3991.467194728273,2022-12-31
strawberries - no sugar,4649.183247879045,2022-12-31
strawberries - added sugar,6005.280569171318,2022-12-31
sunwarrior organic plant-based protein,2881.211046922548,2022-12-31
super grains enhancer,2306.2515586676886,2022-12-31
tart cherries,2729.216250791281,2022-12-31
turbinado,7992.353224540928,2022-12-31
vanilla frozen yogurt,2253.920439889947,2022-12-31
whey protein,2340.1166531845997,2022-12-31
white grape lemon juice blend,2667.175380892092,2022-12-31
milk chocolate almonds,1002.79,2022-12-31
dark chocolate cashews,1005.39,2022-12-31
greek yogurt trail mix,1007.4299999999997,2022-12-31
