item_id,product_id,price,amount
1,40,0.99,3.0
2,25,0.99,3.0
3,30,0.99,3.0
7,22,0.99,3.0
11,39,0.99,3.0
12,44,0.99,3.0
13,28,0.99,3.0
15,60,0.99,3.0
16,10,0.99,3.0
17,40,0.99,3.0
18,21,0.99,3.0
19,60,0.99,3.0
20,65,0.99,3.0
22,55,0.99,3.0
23,65,0.99,3.0
25,30,0.99,3.0
29,54,0.99,3.0
30,57,0.99,3.0
31,51,0.99,3.0
32,21,0.99,3.0
33,7,0.99,3.0
36,22,0.99,3.0
38,40,0.99,3.0
39,2,0.99,3.0
40,40,0.99,3.0
41,60,0.99,3.0
43,50,0.99,3.0
45,61,0.99,3.0
48,22,0.99,3.0
49,47,0.99,3.0
51,41,0.99,3.0
53,8,0.99,3.0
54,22,0.99,3.0
55,32,0.99,3.0
56,57,0.99,3.0
59,39,0.99,3.0
60,54,0.99,3.0
62,55,0.99,3.0
65,41,0.99,3.0
66,21,0.99,3.0
68,32,0.99,3.0
69,36,0.99,3.0
70,47,0.99,3.0
71,2,0.99,3.0
73,47,0.99,3.0
75,65,0.99,3.0
76,41,0.99,3.0
77,65,0.99,3.0
78,39,0.99,3.0
79,54,0.99,3.0
80,22,0.99,3.0
81,41,0.99,3.0
83,36,0.99,3.0
84,63,0.99,3.0
86,33,0.99,3.0
87,66,0.99,3.0
88,62,0.99,3.0
89,54,0.99,3.0
90,21,0.99,3.0
91,57,0.99,3.0
94,21,0.99,3.0
95,33,0.99,3.0
96,39,0.99,3.0
98,19,0.99,3.0
99,2,0.99,3.0
100,63,0.99,3.0
101,8,0.99,3.0
103,25,0.99,3.0
105,50,0.99,3.0
106,51,0.99,3.0
107,50,0.99,3.0
110,62,0.99,3.0
114,54,0.99,3.0
115,32,0.99,3.0
116,31,0.99,3.0
118,28,0.99,3.0
120,37,0.99,3.0
121,61,0.99,3.0
123,59,0.99,3.0
125,19,0.99,3.0
126,54,0.99,3.0
127,47,0.99,3.0
128,31,0.99,3.0
129,10,0.99,3.0
131,54,0.99,3.0
134,40,0.99,3.0
136,28,0.99,3.0
137,60,0.99,3.0
139,26,0.99,3.0
141,41,0.99,3.0
145,31,0.99,3.0
147,22,0.99,3.0
148,32,0.99,3.0
150,3,0.99,3.0
151,25,0.99,3.0
152,25,0.99,3.0
153,41,0.99,3.0
155,60,0.99,3.0
156,2,0.99,3.0
158,61,0.99,3.0
160,8,0.99,3.0
164,66,0.99,3.0
166,59,0.99,3.0
167,21,0.99,3.0
168,51,0.99,3.0
169,40,0.99,3.0
170,66,0.99,3.0
171,7,0.99,3.0
172,35,0.99,3.0
174,37,0.99,3.0
175,39,0.99,3.0
176,47,0.99,3.0
177,3,0.99,3.0
181,2,0.99,3.0
184,3,0.99,3.0
185,50,0.99,3.0
187,62,0.99,3.0
188,65,0.99,3.0
190,54,0.99,3.0
191,3,0.99,3.0
192,66,0.99,3.0
196,37,0.99,3.0
199,65,0.99,3.0
200,3,0.99,3.0
203,3,0.99,3.0
205,41,0.99,3.0
210,39,0.99,3.0
211,22,0.99,3.0
214,60,0.99,3.0
217,28,0.99,3.0
218,40,0.99,3.0
219,8,0.99,3.0
220,24,0.99,3.0
223,54,0.99,3.0
224,44,0.99,3.0
226,25,0.99,3.0
227,36,0.99,3.0
229,62,0.99,3.0
231,25,0.99,3.0
232,50,0.99,3.0
234,37,0.99,3.0
235,60,0.99,3.0
236,33,0.99,3.0
237,44,0.99,3.0
238,32,0.99,3.0
242,65,0.99,3.0
244,63,0.99,3.0
245,61,0.99,3.0
246,44,0.99,3.0
247,8,0.99,3.0
249,37,0.99,3.0
252,62,0.99,3.0
254,60,0.99,3.0
255,50,0.99,3.0
258,65,0.99,3.0
259,32,0.99,3.0
261,21,0.99,3.0
263,59,0.99,3.0
265,35,0.99,3.0
268,22,0.99,3.0
269,40,0.99,3.0
270,24,0.99,3.0
271,57,0.99,3.0
273,65,0.99,3.0
275,7,0.99,3.0
